	Entrez	Ensembl	Symbol	Ctrl1	Ctrl2	DT1	DT2
51705	102465650	ENSMUSG00000106145	Mir7073	0	0	0	0
3621	17921	ENSMUSG00000030761	Myo7a	161	91	101	31
18268	75360	ENSMUSG00000086257	4930548K13Rik	0	0	0	0
27587	192196	ENSMUSG00000029823	Luc7l2	2496	2579	2032	1122
1297	13417	ENSMUSG00000033826	Dnah8	25	0	2	0
10025	59056	ENSMUSG00000029122	Evc	227	484	454	178
24832	110380	ENSMUSG00000045180	Shroom2	8	6	43	4
14597	69188	ENSMUSG00000029004	Kmt2e	1075	2191	917	466
16670	72895	ENSMUSG00000034269	Setd5	1237	1617	560	326
13174	66881	ENSMUSG00000029998	Pcyox1	2409	2758	2372	640
17423	74100	ENSMUSG00000032503	Arpp21	0	0	3	7
15231	70337	ENSMUSG00000019762	Iyd	0	0	0	0
51932	102466801	ENSMUSG00000099062	Mir7077	0	0	0	0
12905	66487	ENSMUSG00000058351	Smim4	181	101	131	122
13427	67241	ENSMUSG00000020608	Smc6	713	1043	403	247
9728	56876	ENSMUSG00000006476	Nsmf	716	964	646	252
2316	15288	ENSMUSG00000032126	Hmbs	668	391	189	221
24671	110172	ENSMUSG00000020873	Slc35b1	1528	1030	589	493
51933	102466802	ENSMUSG00000099147	Mir7081	0	0	0	0
5500	20975	ENSMUSG00000023805	Synj2	2419	2806	742	223
16164	71954	ENSMUSG00000066900	Suds3	2335	1827	1264	853
4396	19229	ENSMUSG00000059456	Ptk2b	889	870	534	295
33830	320806	ENSMUSG00000021666	Gfm2	275	277	107	79
4840	19820	ENSMUSG00000056537	Rlim	1306	1308	1795	432
1140	13202	ENSMUSG00000001666	Ddt	311	53	373	386
1507	13837	ENSMUSG00000052504	Epha3	19	208	206	7
30014	234366	ENSMUSG00000036180	Gatad2a	1714	1687	613	351
5127	20416	ENSMUSG00000042626	Shc1	3515	2817	3066	1084
19436	77531	ENSMUSG00000058589	Anks1b	1325	470	19	38
728	12571	ENSMUSG00000040274	Cdk6	900	867	265	153
727	12570	ENSMUSG00000090071	Cdk5r2	0	0	1	11
726	12569	ENSMUSG00000048895	Cdk5r1	130	62	64	20
21706	99982	ENSMUSG00000036940	Kdm1a	1491	1374	754	485
35873	404309	ENSMUSG00000108464	Olfr192	0	0	0	0
28923	224432	ENSMUSG00000022983	Scaf4	544	464	195	180
18265	75357	ENSMUSG00000106902	4930557J02Rik	0	0	0	0
30079	234863	ENSMUSG00000110599	6030466F02Rik	0	0	0	0
36322	433022	ENSMUSG00000087141	Plcxd2	17	33	36	13
17724	74522	ENSMUSG00000034543	Morc2a	629	820	466	238
14383	68775	ENSMUSG00000020566	Atp6v1c2	0	2	0	0
510	12273	ENSMUSG00000049130	C5ar1	1210	87	180	394
3537	17754	ENSMUSG00000027254	Map1a	528	1067	198	104
1939	14613	ENSMUSG00000057123	Gja5	46	9	18	11
600	12393	ENSMUSG00000039153	Runx2	953	1049	956	208
1937	14611	ENSMUSG00000048582	Gja3	0	0	0	0
849	12778	ENSMUSG00000044337	Ackr3	784	234	1017	72
797	12703	ENSMUSG00000038037	Socs1	414	154	964	1634
5295	20661	ENSMUSG00000068747	Sort1	59	20	339	243
9847	57785	ENSMUSG00000032892	Rangrf	205	124	112	138
29263	227696	ENSMUSG00000079484	Phyhd1	356	270	309	382
30538	240215	ENSMUSG00000024485	Slc4a9	0	0	0	0
36227	432572	ENSMUSG00000042331	Specc1	1925	1960	470	322
30142	235459	ENSMUSG00000033543	Gtf2a2	815	645	468	492
9093	54006	ENSMUSG00000058886	Deaf1	335	247	294	144
12628	66112	ENSMUSG00000026621	Mtarc1	1	0	0	0
9337	56086	ENSMUSG00000054766	Set	9045	7232	2870	2568
24781	110304	ENSMUSG00000038257	Glra3	0	0	0	0
19420	77505	ENSMUSG00000030882	Dnhd1	25	21	17	14
20008	78469	ENSMUSG00000037689	Tmem247	0	0	0	0
19989	78444	ENSMUSG00000030553	Pgpep1l	2	0	0	13
3761	18131	ENSMUSG00000038146	Notch3	104	117	30	34
14114	68236	ENSMUSG00000070708	Gtsf1l	0	0	0	0
782	12663	ENSMUSG00000078185	Chml	242	396	135	74
41781	671564	ENSMUSG00000055385	Rnf212	0	0	0	0
13036	66684	ENSMUSG00000051579	Tceal8	1732	1184	1424	1189
34040	328354	ENSMUSG00000051729	Gm5087	0	0	0	0
13859	67854	ENSMUSG00000045463	Slco6b1	0	0	0	0
16066	71810	ENSMUSG00000002372	Ranbp3	1428	1280	661	695
13459	67287	ENSMUSG00000025237	Parp6	147	248	160	62
1996	14700	ENSMUSG00000038607	Gng10	1385	1374	1085	1076
13237	66973	ENSMUSG00000024436	Mrps18b	506	380	106	118
13329	67102	ENSMUSG00000022864	D16Ertd472e	598	817	689	261
13328	67101	ENSMUSG00000062619	2310039H08Rik	340	235	186	283
13326	67097	ENSMUSG00000052146	Rps10	18419	12143	10159	10638
6567	23806	ENSMUSG00000025234	Arih1	3275	2315	1070	533
15092	70036	ENSMUSG00000106943	Dancr	23	19	14	27
34296	330385	ENSMUSG00000097462	9530026P05Rik	11	17	42	26
2804	16408	ENSMUSG00000030830	Itgal	165	7	124	196
51830	102466158	ENSMUSG00000099279	Mir6408	0	0	0	0
7882	50721	ENSMUSG00000034748	Sirt6	315	147	127	89
16013	71729	ENSMUSG00000029101	Rgs12	268	357	312	108
2283	15216	ENSMUSG00000006611	Hfe	334	54	231	419
21727	100121	ENSMUSG00000035517	Tdrd7	347	317	302	124
50704	100526462	ENSMUSG00000080331	Mir1298	0	0	0	0
146	11637	ENSMUSG00000028792	Ak2	2391	2292	892	1721
15126	70103	ENSMUSG00000059518	Znhit1	635	476	381	474
4338	19153	ENSMUSG00000053198	Prx	505	528	242	71
18573	75819	ENSMUSG00000087137	4930509K18Rik	0	0	0	0
41251	668166	ENSMUSG00000073062	Zxdb	114	113	72	64
157	11656	ENSMUSG00000025270	Alas2	3	4	46	0
6610	23877	ENSMUSG00000061374	Fiz1	586	481	353	272
612	12406	ENSMUSG00000070436	Serpinh1	10293	20346	8562	4220
42566	100009609	ENSMUSG00000066372	Vmn2r65	0	0	0	0
3599	17883	ENSMUSG00000020908	Myh3	0	1	0	0
23398	108071	ENSMUSG00000049583	Grm5	0	0	0	1
40339	666348	ENSMUSG00000071716	Apol7e	2	0	0	0
6376	22351	ENSMUSG00000038775	Vill	7	0	8	0
17115	73624	ENSMUSG00000086080	1700123O12Rik	0	0	0	0
2755	16334	ENSMUSG00000000215	Ins2	0	0	0	0
29777	232341	ENSMUSG00000045962	Wnk1	4269	5735	2057	1087
20466	83560	ENSMUSG00000010342	Tex14	5	4	0	0
30594	240869	ENSMUSG00000043467	Zbtb37	34	41	54	14
18517	75740	ENSMUSG00000063600	Egfem1	0	0	0	0
1594	14048	ENSMUSG00000025932	Eya1	1	0	8	4
30266	237175	ENSMUSG00000031298	Adgrg2	6	41	78	22
32605	269513	ENSMUSG00000055761	Nkain3	0	8	8	0
15180	70233	ENSMUSG00000042502	Cd2bp2	1348	1208	893	560
16242	72080	ENSMUSG00000026955	Sapcd2	109	57	0	25
30557	240444	ENSMUSG00000059852	Kcng2	9	0	0	4
22936	106529	ENSMUSG00000031708	Tecr	2047	1773	1750	1104
23206	107626	ENSMUSG00000093806	Asmt	1	0	0	0
6015	21787	ENSMUSG00000022757	Tfg	2025	1315	804	359
34221	329851	ENSMUSG00000085967	Gm12530	0	0	0	0
30455	239410	ENSMUSG00000060530	A930017M01Rik	0	0	1	0
29086	226025	ENSMUSG00000052387	Trpm3	5	4	8	21
6189	22066	ENSMUSG00000027748	Trpc4	1	0	0	0
58617	102639598	ENSMUSG00000074527	Gm14296	0	0	0	0
13431	67247	ENSMUSG00000073481	Mtarc2	1684	1433	1925	1907
27912	209378	ENSMUSG00000025780	Itih5	18	6	53	10
22413	104110	ENSMUSG00000022220	Adcy4	26	10	21	14
27544	171580	ENSMUSG00000019823	Mical1	80	26	25	52
27884	209032	ENSMUSG00000047749	Zc3hav1l	145	247	87	46
29706	231798	ENSMUSG00000093445	Lrch4	0	0	0	0
29480	229898	ENSMUSG00000105504	Gbp5	221	47	991	719
18436	75607	ENSMUSG00000037989	Wnk2	0	0	3	0
32893	317717	ENSMUSG00000034473	Sec22a	292	266	237	119
32471	268390	ENSMUSG00000020288	Ahsa2	565	400	182	172
5902	21425	ENSMUSG00000023990	Tfeb	365	340	345	304
6029	21816	ENSMUSG00000022218	Tgm1	36	5	11	33
45273	100040531	ENSMUSG00000095677	Dynlt1f	3	14	2	9
15596	71007	ENSMUSG00000030994	D7Ertd443e	0	0	0	0
34825	380712	ENSMUSG00000038217	Tlcd2	30	28	10	10
13697	67621	ENSMUSG00000028545	Bend5	0	1	4	16
29090	226043	ENSMUSG00000024878	Cbwd1	255	229	115	104
27975	210297	ENSMUSG00000031290	Lrch2	186	458	157	60
13242	66980	ENSMUSG00000024982	Zdhhc6	973	917	432	338
618	12417	ENSMUSG00000029836	Cbx3	1916	1895	1193	559
12477	64339	ENSMUSG00000038552	Fndc4	28	14	14	91
31156	246696	ENSMUSG00000040414	Slc25a28	453	490	414	393
3429	17472	ENSMUSG00000079363	Gbp4	260	96	1299	1295
28182	213084	ENSMUSG00000020389	Cdkl3	42	62	73	38
51581	102465221	ENSMUSG00000098932	Mir6410	0	0	0	0
13705	67636	ENSMUSG00000040370	Etfrf1	384	390	188	153
36352	433171	ENSMUSG00000118292	Gm10549	0	0	0	0
1360	13498	ENSMUSG00000004263	Atn1	2576	3518	2556	1334
9658	56707	ENSMUSG00000087598	Zfp111	138	116	60	39
5076	20347	ENSMUSG00000057969	Sema3b	2015	322	517	56
15981	71684	ENSMUSG00000036249	Rbm43	264	209	232	183
4969	20197	ENSMUSG00000001021	S100a3	161	15	18	4
15173	70218	ENSMUSG00000051378	Kif18b	141	106	1	36
27921	209488	ENSMUSG00000062007	Hsh2d	2	0	8	1
21315	97761	ENSMUSG00000038351	Sgsm2	483	436	509	187
5131	20422	ENSMUSG00000042541	Sem1	2696	1755	1983	2347
5130	20420	ENSMUSG00000039154	Shd	0	0	1	10
4190	18826	ENSMUSG00000021998	Lcp1	3394	464	837	1338
2181	15018	ENSMUSG00000060550	H2-Q7	0	0	0	0
1947	14622	ENSMUSG00000042357	Gjb5	10	2	4	1
4845	19826	ENSMUSG00000034681	Rnps1	665	592	320	146
1934	14608	ENSMUSG00000031932	Gpr83	0	1	0	2
1080	13105	ENSMUSG00000068086	Cyp2d9	0	0	0	0
4468	19335	ENSMUSG00000004768	Rab23	795	409	306	148
1592	14043	ENSMUSG00000027198	Ext2	2167	2773	2647	958
5010	20259	ENSMUSG00000002565	Scin	59	26	10	3
5007	20256	ENSMUSG00000004473	Clec11a	59	55	41	15
5005	20254	ENSMUSG00000050711	Scg2	6	3	15	16
19898	78283	ENSMUSG00000041020	Map7d2	0	0	10	5
5980	21684	ENSMUSG00000024979	Tectb	0	0	0	0
15104	70060	ENSMUSG00000026226	Spata3	0	0	0	0
13298	67059	ENSMUSG00000027108	Ola1	1559	1191	1177	633
14656	69297	ENSMUSG00000020878	Lrrc46	9	5	8	0
14654	69296	ENSMUSG00000000562	Tmigd3	2	1	1	1
33064	319446	ENSMUSG00000053687	Dpep2	280	36	90	49
29502	230125	ENSMUSG00000045973	Slc25a51	1356	1421	747	427
33031	319370	ENSMUSG00000050628	Ubald2	1	1	9	0
28041	211378	ENSMUSG00000072066	6720489N17Rik	6	32	28	16
34531	353310	ENSMUSG00000085795	Zfp703	1646	1807	1884	866
30986	245020	ENSMUSG00000070287	Slc35g2	0	1	7	1
18908	76499	ENSMUSG00000033392	Clasp2	644	724	609	338
28275	214230	ENSMUSG00000074923	Pak6	6	2	1	3
22021	102032	ENSMUSG00000031534	Smim19	377	447	465	339
2271	15203	ENSMUSG00000031209	Heph	3	0	0	1
18152	75199	ENSMUSG00000051827	Rhox2a	0	0	0	0
14582	69165	ENSMUSG00000065987	Cd209b	0	0	0	0
29811	232714	ENSMUSG00000068587	Mgam	49	6	1	0
6950	27059	ENSMUSG00000028082	Sh3d19	1784	1677	955	312
1101	13132	ENSMUSG00000022150	Dab2	4998	3787	2507	1769
28524	216831	ENSMUSG00000033389	Arhgap44	4	0	0	5
13797	67752	ENSMUSG00000035179	Ppp1r32	0	2	0	0
5975	21678	ENSMUSG00000002249	Tead3	565	517	400	243
9264	55936	ENSMUSG00000031360	Ctps2	798	563	565	379
27905	209318	ENSMUSG00000025156	Gps1	1846	1486	795	777
714	12556	ENSMUSG00000031881	Cdh16	0	0	0	0
23388	108037	ENSMUSG00000025403	Shmt2	3511	2931	495	566
4959	20185	ENSMUSG00000018501	Ncor1	1371	2034	548	717
4947	20148	ENSMUSG00000066026	Dhrs3	776	735	1716	1402
4946	20147	ENSMUSG00000031293	Rs1	0	0	0	0
4937	20115	ENSMUSG00000061477	Rps7	13562	10776	8370	6620
14327	68668	ENSMUSG00000074155	Klk5	0	0	0	0
46629	100043904	ENSMUSG00000117524	Gm4719	0	0	0	0
39013	628686	ENSMUSG00000097393	D030068K23Rik	0	0	0	0
70565	115489290	ENSMUSG00000095759	Gm21828	0	0	0	0
50550	100504375	ENSMUSG00000084821	Gm15880	13	8	13	2
19727	78031	ENSMUSG00000086687	4930547E08Rik	0	0	0	0
22967	106722	ENSMUSG00000073414	Mpig6b	0	0	0	0
9712	56839	ENSMUSG00000067242	Lgi1	0	0	0	0
381	12009	ENSMUSG00000039781	Cep131	311	363	144	115
3282	17174	ENSMUSG00000022887	Masp1	409	271	1422	70
3280	17172	ENSMUSG00000020052	Ascl1	0	0	0	0
3279	17171	ENSMUSG00000068037	Mas1	0	1	3	2
3274	17164	ENSMUSG00000016528	Mapkapk2	3952	3057	1875	1481
6907	26931	ENSMUSG00000017843	Ppp2r5c	2307	2286	1706	790
42282	751532	ENSMUSG00000076050	Mir450b	0	0	0	2
17557	74286	ENSMUSG00000036244	Tbc1d21	0	0	0	0
12695	66199	ENSMUSG00000032299	Commd4	695	541	534	438
12694	66198	ENSMUSG00000028148	Them5	0	0	0	0
20066	78581	ENSMUSG00000022313	Utp23	364	261	139	158
22939	106564	ENSMUSG00000028636	Ppcs	213	147	65	88
9404	56284	ENSMUSG00000030045	Mrpl19	427	290	261	201
13956	67981	ENSMUSG00000028109	Hormad1	1	1	1	0
13953	67978	ENSMUSG00000118662	Tctn2	374	454	514	115
13948	67971	ENSMUSG00000014846	Tppp3	68	11	17	75
13946	67968	ENSMUSG00000032346	Ooep	0	0	4	5
13941	67958	ENSMUSG00000032407	U2surp	758	1043	356	197
1722	14233	ENSMUSG00000047861	Foxi1	0	0	0	0
20118	78670	ENSMUSG00000035278	Plekhj1	1544	687	525	653
46968	100124439	ENSMUSG00000093187	Mir344-2	0	0	0	0
46969	100124440	ENSMUSG00000119887	Mir465b-2	0	0	0	0
47000	100124473	ENSMUSG00000119524	Mir465b-1	0	0	0	0
1043	13047	ENSMUSG00000029705	Cux1	1749	2608	882	334
3436	17527	ENSMUSG00000107283	Mpv17	636	714	682	285
19920	78321	ENSMUSG00000067653	Ankrd23	21	22	10	5
31030	245525	ENSMUSG00000045802	Hsf3	0	0	0	0
29718	231858	ENSMUSG00000029576	Radil	106	67	19	8
41967	677044	ENSMUSG00000074250	Gm10653	0	2	1	0
16161	71950	ENSMUSG00000012396	Nanog	0	0	0	0
6939	27045	ENSMUSG00000013997	Nit1	250	249	249	213
9829	57751	ENSMUSG00000026171	Rnf25	379	341	187	359
13881	67878	ENSMUSG00000037720	Tmem33	2368	2271	1075	629
6454	22598	ENSMUSG00000021612	Slc6a18	0	0	0	0
8492	52685	ENSMUSG00000017309	Cd300lg	26	4	30	17
16088	71839	ENSMUSG00000074063	Osgin1	183	260	428	253
17168	73721	ENSMUSG00000028441	1110017D15Rik	0	0	0	1
27303	170656	ENSMUSG00000058368	Krtap21-1	0	0	0	0
22567	104367	ENSMUSG00000065124	Snora65	42	35	12	23
3699	18032	ENSMUSG00000001911	Nfix	4913	8130	8168	2982
28550	216984	ENSMUSG00000093938	Evi2b	0	0	0	0
13497	67333	ENSMUSG00000037885	Stk35	354	328	637	322
17380	74043	ENSMUSG00000067825	Pex26	128	74	97	37
21586	99138	ENSMUSG00000027367	Stard7	964	821	429	294
5425	20851	ENSMUSG00000020919	Stat5b	634	637	502	286
21538	98766	ENSMUSG00000036352	Ubac1	490	561	274	312
5424	20850	ENSMUSG00000004043	Stat5a	305	329	403	144
15564	70967	ENSMUSG00000039903	Eva1c	1096	2066	750	303
1100	13131	ENSMUSG00000028519	Dab1	4	0	0	0
18370	75512	ENSMUSG00000004341	Gpx6	0	0	1	0
28682	217887	ENSMUSG00000037594	Clba1	1751	1212	744	365
28675	217845	ENSMUSG00000021208	Ifi27l2b	0	0	0	3
27671	194401	ENSMUSG00000051586	Mical3	297	428	170	42
44647	100038712	ENSMUSG00000097316	Gm10516	16	19	31	8
9575	56542	ENSMUSG00000009828	Cilk1	760	940	487	255
16229	72055	ENSMUSG00000061306	Slc38a10	4308	4870	1956	507
21485	98403	ENSMUSG00000042197	Zfp451	401	277	228	61
27133	117197	ENSMUSG00000060708	Bloc1s4	773	578	422	490
