,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
R-HSA-977606,R-HSA-977606,Regulation of Complement cascade,18,0.640328028,1.581048287,0.020829624,0.142745129,0.118641683,2625,"tags=67%, list=18%, signal=55%",CFI/C4B/C1S/C1R/C3/C4A/SERPING1/CFHR1/CLU/CFH/CD81/PROS1
R-HSA-1793185,R-HSA-1793185,Chondroitin sulfate/dermatan sulfate metabolism,43,0.534485403,1.579725265,0.014610941,0.118336845,0.098354897,2791,"tags=44%, list=19%, signal=36%",HYAL1/DCN/CSPG5/SDC2/GPC4/GPC6/HSPG2/CHST14/CHST7/CHSY3/B3GAT2/CHST3/IDUA/GPC2/HEXA/CHST12/SDC3/CHPF/DSE
R-HSA-3656237,R-HSA-3656237,Defective EXT2 causes exostoses 2,12,0.701330074,1.576341086,0.025636396,0.159036406,0.132182072,2269,"tags=50%, list=15%, signal=42%",SDC2/GPC4/GPC6/HSPG2/GPC2/SDC3
R-HSA-3656253,R-HSA-3656253,"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",12,0.701330074,1.576341086,0.025636396,0.159036406,0.132182072,2269,"tags=50%, list=15%, signal=42%",SDC2/GPC4/GPC6/HSPG2/GPC2/SDC3
R-HSA-2243919,R-HSA-2243919,Crosslinking of collagen fibrils,17,0.645288495,1.574448997,0.023495906,0.153061794,0.127216312,2841,"tags=76%, list=19%, signal=62%",COL4A4/LOXL4/COL1A2/COL4A3/LOXL3/COL4A5/COL4A1/TLL2/COL1A1/PXDN/COL4A6/COL4A2/LOXL1
R-HSA-211945,R-HSA-211945,Phase I - Functionalization of compounds,57,0.502036797,1.565157022,0.010882304,0.102173638,0.084920953,1699,"tags=33%, list=12%, signal=30%",CES3/ALDH1A1/CYP3A5/CYP2U1/PTGIS/CYP26B1/ALDH3A1/CYP1B1/MTARC2/ALDH2/CMBL/EPHX1/CYP46A1/FDXR/CYP1A1/ARNT2/ADH6/CYP39A1/CYP2J2
R-HSA-3560783,R-HSA-3560783,"Defective B4GALT7 causes EDS, progeroid type",16,0.643292026,1.55456417,0.030496454,0.171710957,0.142716442,2269,"tags=50%, list=15%, signal=42%",DCN/CSPG5/SDC2/GPC4/GPC6/HSPG2/GPC2/SDC3
R-HSA-913531,R-HSA-913531,Interferon Signaling,166,0.423468358,1.552461224,0.00234375,0.034588816,0.028748269,3164,"tags=39%, list=21%, signal=31%",MX2/IFI27/IFITM1/MX1/RSAD2/IFIT1/HLA-DRA/TRIM6/OAS1/TRIM22/IFIT2/HLA-DPB1/IFI6/OASL/HLA-DPA1/CIITA/ISG15/GBP4/HLA-DRB5/HERC5/TRIM17/STAT2/HLA-DQB1/IFITM2/HLA-DRB1/SAMHD1/BST2/OAS2/IFIT3/HLA-DQA1/IRF7/IFNGR1/TRIM62/MID1/GBP2/XAF1/TRIM2/IFITM3/HLA-C/TRIM46/SOCS3/UBA7/OAS3/USP18/HLA-A/TRIM25/HLA-B/JAK2/GBP1/HLA-E/FLNB/IRF9/STAT1/IRF4/RIGI/EIF2AK2/NCAM1/IFIT5/ADAR/GBP5/TRIM14/PLCG1/IFI35/EIF4E3
R-HSA-3781865,R-HSA-3781865,Diseases of glycosylation,107,0.438665229,1.514128345,0.008416963,0.094338776,0.078409059,2546,"tags=29%, list=17%, signal=24%",THSD7B/SEMA5A/MUC1/OMD/THSD7A/ADAMTS10/DCN/CSPG5/LFNG/ADAMTS13/ADAMTS17/ADAMTSL3/SDC2/GPC4/GPC6/B3GLCT/LUM/HSPG2/DAG1/ADAMTS15/THBS1/CHST14/CHST3/GLB1/GPC2/HEXA/SDC3/ADAMTS14/B4GALT1/ADAMTSL4/CTSA
R-HSA-877300,R-HSA-877300,Interferon gamma signaling,74,0.460865147,1.50055365,0.017146662,0.130650111,0.108588988,3094,"tags=50%, list=21%, signal=40%",HLA-DRA/TRIM6/OAS1/TRIM22/HLA-DPB1/OASL/HLA-DPA1/CIITA/GBP4/HLA-DRB5/TRIM17/HLA-DQB1/HLA-DRB1/OAS2/HLA-DQA1/IRF7/IFNGR1/TRIM62/MID1/GBP2/TRIM2/HLA-C/TRIM46/SOCS3/OAS3/HLA-A/TRIM25/HLA-B/JAK2/GBP1/HLA-E/IRF9/STAT1/IRF4/NCAM1/GBP5/TRIM14
R-HSA-2022090,R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,49,0.492810212,1.500286695,0.023474178,0.153061794,0.127216312,1694,"tags=41%, list=11%, signal=36%",MMP7/ITGB4/COL14A1/CTSV/COL4A4/COL8A1/COL11A1/LOXL4/COL8A2/COL9A2/COL11A2/COL24A1/COL1A2/COL4A3/LOXL3/COL4A5/COL4A1/TLL2/COL1A1/COL5A2
R-HSA-388841,R-HSA-388841,Costimulation by the CD28 family,47,0.494671648,1.491299918,0.027478085,0.164633654,0.136834188,2442,"tags=32%, list=17%, signal=27%",HLA-DRA/HLA-DPB1/ICOSLG/HLA-DPA1/LYN/HLA-DRB5/HLA-DQB1/HLA-DRB1/HLA-DQA1/MAP3K14/PIK3R1/TNFRSF14/PIK3R3/CD4/FYN
R-HSA-3906995,R-HSA-3906995,Diseases associated with O-glycosylation of proteins,41,0.498591342,1.462706448,0.036784741,0.193880478,0.161142495,1443,"tags=32%, list=10%, signal=29%",THSD7B/SEMA5A/MUC1/THSD7A/ADAMTS10/LFNG/ADAMTS13/ADAMTS17/ADAMTSL3/B3GLCT/DAG1/ADAMTS15/THBS1
R-HSA-211859,R-HSA-211859,Biological oxidations,120,0.416478225,1.461608973,0.01138733,0.104346641,0.08672703,3072,"tags=33%, list=21%, signal=27%",CES3/ALDH1A1/CYP3A5/NNMT/CYP2U1/PTGIS/AKR7L/CYP26B1/GGT1/ALDH3A1/CYP1B1/MTARC2/ALDH2/CMBL/UGT3A2/EPHX1/CYP46A1/FDXR/GSTM2/CYP1A1/ARNT2/SULT2B1/ADH6/GGT7/CYP39A1/CYP2J2/ACY3/GSTM4/GCLC/GSTK1/GSTM3/NCOA1/GSTA4/CYP4V2/PAOX/OPLAH/CYP27A1/GSTZ1/AKR1A1/NQO2
R-HSA-5668914,R-HSA-5668914,Diseases of metabolism,179,0.386674935,1.428708785,0.009144451,0.096539223,0.080237946,2857,"tags=28%, list=19%, signal=23%",THSD7B/SEMA5A/MUC1/HYAL1/OMD/THSD7A/ADAMTS10/DCN/CSPG5/LFNG/ADAMTS13/ADAMTS17/CYP2U1/CYP26B1/GGT1/CYP1B1/ADAMTSL3/SDC2/GPC4/GPC6/B3GLCT/LUM/FDXR/HSPG2/DAG1/TCN2/ADAMTS15/THBS1/CHST14/GAA/SGSH/CHST3/GCLC/GLB1/IDUA/GPC2/HEXA/NAGLU/SDC3/ADAMTS14/B4GALT1/ADAMTSL4/CTSA/BTD/IDH1/ALG12/HGSNAT/ADAMTSL5/OPLAH/LMBRD1
R-HSA-1630316,R-HSA-1630316,Glycosaminoglycan metabolism,104,0.405932433,1.395155642,0.029445074,0.169808179,0.14113496,3811,"tags=43%, list=26%, signal=32%",NDST4/HYAL1/OMD/DCN/CSPG5/B3GNT4/HS6ST1/SDC2/HAS2/GPC4/GPC6/LUM/HSPG2/CHST14/CHST7/HS6ST3/HPSE/CHSY3/SGSH/B3GAT2/CHST3/GLB1/IDUA/GPC2/HEXA/NAGLU/CHST12/SDC3/HS3ST1/B4GALT1/CHPF/HGSNAT/DSE/ABCC5/DSEL/CHST15/GLB1L/SLC26A2/SLC35B3/GALNS/B4GAT1/B4GALT4/SLC35D2/AGRN/PAPSS2
R-HSA-5683057,R-HSA-5683057,MAPK family signaling cascades,262,-0.309900765,-1.261123435,0.035504785,0.189991256,0.157909994,2378,"tags=21%, list=16%, signal=18%",PSMD12/MAPKAPK5/PSMD11/PSMD8/PSME4/RASGRP3/EGFR/SPTBN5/MAPK1/RAP1B/CDC42EP2/NRG2/PPP5C/MAP2K1/RASA2/SPTBN4/SPRED2/RAG1/MET/CDC14A/RASA3/RASA1/LYPLA1/KITLG/PSMD2/MYC/PAK1/SHC1/SPTBN2/PRKACB/AGO2/SPRED3/DUSP1/FGFR4/RASGRF2/GDNF/GRIN1/PDGFA/CSF2/KALRN/FGF5/VWF/ARRB1/GRIN2B/DUSP2/ETV4/PDGFB/CAMK2A/DUSP6/HBEGF/EREG/DUSP5/CAMK2B/AREG
R-HSA-9006925,R-HSA-9006925,Intracellular signaling by second messengers,262,-0.311600033,-1.268038506,0.033343625,0.181897905,0.151183258,1292,"tags=9%, list=9%, signal=9%",MAPKAP1/KITLG/CDKN1A/PSMD2/PRKACB/PRKCG/AGO2/TRIB3/FGFR4/PDGFA/CAMK4/RAC2/ADCY8/IER3/FGF5/ESR2/PDGFB/CAMK2A/HBEGF/EREG/CAMK2B/EGR1/AREG/IL33
R-HSA-9006934,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,428,-0.301640918,-1.283395427,0.010714286,0.102173638,0.084920953,2337,"tags=22%, list=16%, signal=19%",PTPRU/POLR2H/FOS/NCBP2/MST1/POLR2D/SPINT1/ARF6/EGFR/SPRY2/LAMC3/MEF2A/TIAM1/AKT2/MAPK1/RAP1B/STAT5B/NRG2/ELK1/PRKCD/EPS15L1/POLR2F/MAP2K1/HSP90AA1/HGS/LAMA5/LAMC1/SPRED2/LAMB1/MET/ARC/NTRK1/NRP1/PTPN12/RPS6KA3/F3/PRKCB/SH3KBP1/RASA1/NAB2/MAPKAP1/RALB/LAMA4/ITGB1/KITLG/MYC/PAK1/SHC1/ATP6V0A2/RPS6KA1/PRKACB/ATP6V1C2/GRB10/SOCS1/PXN/ITGA3/ATP6V0D2/AXL/TRIB3/MAPK13/FGFR4/EGR2/THBS2/COL27A1/VEGFA/PDGFA/SGK1/SH2B3/YES1/MAPKAPK3/ITGA2/FLRT2/PTK2B/EGR3/FOSL1/FGF5/LAMC2/GRIN2B/VAV3/PDE3B/PDGFB/PLAT/TRIB1/CDK5R2/DUSP6/FLT1/HBEGF/EREG/SPHK1/ADCYAP1R1/EGR1/COL6A3/AREG
R-HSA-449147,R-HSA-449147,Signaling by Interleukins,346,-0.319111576,-1.333595533,0.009072581,0.096539223,0.080237946,2378,"tags=24%, list=16%, signal=20%",PSMD12/PSMD11/PSMD8/PSME4/FOS/CNTF/TCP1/CAPZA1/UBE2N/RIPK2/MEF2A/HMOX1/MAPK1/RAP1B/STAT5B/CCND1/TSLP/ELK1/MAP3K3/IL17RE/CRLF1/MAP2K1/CASP8/SNRPA1/STX3/HSP90AA1/NFKB2/LAMA5/HSPA8/IRAK2/ICAM1/RAG1/IL27RA/MSN/IL22RA1/PTPN12/RPS6KA3/ITGB1/CDKN1A/PSMD2/MYC/CISH/BOLA2/SHC1/RPS6KA1/HSPA9/GSTO1/IL4R/MAP2K3/SOCS1/TIMP1/IL18R1/CSF1R/IL15RA/HAVCR2/IL1RAPL1/PTAFR/VEGFA/CCR1/CSF2/STX1A/SNAP25/YES1/MAPKAPK3/IL36B/MTAP/CLCF1/PTK2B/IL12A/PTGS2/FPR1/IL1RL2/IL31RA/DUSP6/LIF/SERPINB2/IL1B/IL1A/CCL20/MMP1/IL11/IL33
R-HSA-453279,R-HSA-453279,Mitotic G1 phase and G1/S transition,145,-0.356133411,-1.347220031,0.031292517,0.173302513,0.144039254,4472,"tags=52%, list=30%, signal=37%",UBB/PSMC2/RPA2/CDK4/TFDP1/PSMD6/GMNN/PPP2CB/PCNA/PSMB6/ORC3/MCM2/PSMD13/PSMA1/PSMC1/PSMD7/PSMC5/CUL1/PSMA5/PSMC4/RPA3/CDK1/PSMD3/PSMD1/MNAT1/CCNB1/PSMB7/PSME3/PSME2/ABL1/PPP2R3B/CDK7/MCM5/MCM3/POLE/PRIM1/PSMC6/FBXO5/PSMD14/E2F3/POLA1/PPP2R2A/POLE3/MCM4/CCNH/DBF4/PSMD12/PSMD11/PSMD8/PRIM2/LIN9/RBL1/AKT2/CDC7/MCM7/CKS1B/CCND1/E2F4/ORC1/MCM6/CDC45/POLA2/CCNA1/CDC6/RRM2/CCNE2/ORC6/MCM8/CDKN1A/PSMD2/MYC/CDC25A/ORC5/MCM10/POLE2/CDKN1C
R-HSA-109582,R-HSA-109582,Hemostasis,424,-0.320284519,-1.361548393,0.003216583,0.043783007,0.036389961,1163,"tags=13%, list=8%, signal=12%",SHC1/KIF9/TNFRSF10B/CXADR/C1QBP/PRKACB/PRKCG/TUBB1/ATP2B2/PROCR/LRP8/TFPI/ITGA3/PLCG2/TIMP1/RAB27B/DGKG/SLC16A3/L1CAM/ATP1B1/DOCK4/DGKI/GNA14/RAPGEF3/ITGA5/SLC7A5/MAFF/VEGFA/TNFRSF10D/PLA2G4A/PDGFA/SH2B3/YES1/ITGA2/RAC2/DOCK10/FERMT3/VWF/ARRB1/TUBB4A/VAV3/PLAUR/PDGFB/THBD/SERPINE1/PLAT/SERPINB2/APOA1/PDE2A/KIF26B/P2RX5/MYB/SERPIND1/MMP1/GNA15
R-HSA-8939211,R-HSA-8939211,ESR-mediated signaling,164,-0.355324341,-1.363137805,0.020176893,0.142745129,0.118641683,2465,"tags=21%, list=17%, signal=17%",GNG5/HSP90AB1/POLR2H/FOS/POLR2D/EGFR/AKT2/MAPK1/CCND1/PRMT1/PPP5C/ELK1/GNG11/H2BC13/POLR2F/GNG10/HSP90AA1/GNG2/CITED1/MYC/SHC1/FKBP4/ZDHHC21/CBFB/AGO2/H2BC15/S1PR3/ESR2/H4C11/HBEGF/EREG/SPHK1/MYB/AREG
R-HSA-187037,R-HSA-187037,Signaling by NTRK1 (TRKA),105,-0.379343184,-1.363345814,0.037904712,0.196097439,0.162985107,1529,"tags=18%, list=10%, signal=16%",ARC/NTRK1/RPS6KA3/F3/NAB2/RALB/SHC1/RPS6KA1/MAPK13/EGR2/SGK1/MAPKAPK3/EGR3/FOSL1/TRIB1/CDK5R2/DUSP6/ADCYAP1R1/EGR1
R-HSA-5663220,R-HSA-5663220,RHO GTPases Activate Formins,129,-0.367873896,-1.366825577,0.028954424,0.168554708,0.140093146,5268,"tags=55%, list=36%, signal=36%",DIAPH1/MIS12/PPP2R5C/TUBB6/KNTC1/XPO1/MAD1L1/PPP2R5E/SPC24/CDC20/BUB1B/PPP2R1B/SGO1/PFN1/SPC25/SRF/ZW10/PPP2CB/NUP37/NUP85/DSN1/TUBA1B/CENPT/NUP98/CDCA8/BIRC5/KIF2A/AURKB/KIF18A/CENPH/NDC80/AHCTF1/CENPO/INCENP/KIF2C/NUP43/SKA1/CENPE/DYNC1LI1/MAPRE1/PLK1/ZWINT/CENPN/RCC2/CENPI/BUB1/NUP107/DVL1/CENPK/PPP2R5A/NUF2/TUBB4B/PPP1CC/MAD2L1/BUB3/NDE1/SPDL1/ZWILCH/SGO2/TUBA1C/CENPU/CENPQ/ERCC6L/ITGB1/RHOC/NUDC/DYNC1I1/TUBB1/FMNL3/SEH1L/TUBB4A
R-HSA-168255,R-HSA-168255,Influenza Infection,151,-0.360935862,-1.370310881,0.022608216,0.149512826,0.12426661,5866,"tags=63%, list=40%, signal=38%",RPL11/POLR2I/RPL23/RPL7A/AAAS/CPSF4/RPS9/RPS12/RPL13/RPL19/RPL37A/RPL21/CLTA/RPL18A/SLC25A6/RPL5/RPL27A/RPS23/RPL10A/RPS27A/RPS8/RPL32/RPL7/RPL4/RPSA/RPL23A/XPO1/POLR2A/GRSF1/RPLP1/RPL14/RPS7/RPS6/NUP42/RPS14/RPL26L1/RPS3A/RPL38/RPS5/RPL36/RPS16/RPL8/RPS18/POLR2C/RPS25/NUP62/NUP37/NUP85/RPS3/POLR2K/PARP1/RPS26/RPL6/IPO5/RPS24/RPL24/RPL27/KPNA1/RPL9/RPS21/NUP98/KPNA2/RPL35/TGFB1/NUP54/RAE1/NUP43/POM121/NUP93/KPNB1/POLR2G/NUP50/POLR2B/NUP107/KPNA4/RPL39L/NUP153/GTF2F2/NUP88/RPL22L1/NUP155/POLR2H/POLR2D/NUP205/NUP58/RPL17/POLR2F/RPS10/NUP188/RAN/HSP90AA1/NDC1/RPS17/NUP35/SEH1L
R-HSA-68867,R-HSA-68867,Assembly of the pre-replicative complex,102,-0.385005261,-1.377934061,0.031397174,0.173302513,0.144039254,4472,"tags=48%, list=30%, signal=34%",UBB/PSMC2/PSMD6/GMNN/PSMB6/ORC3/MCM2/PSMD13/PSMA1/PSMC1/PSMD7/PSMC5/PSMA5/PSMC4/KPNA1/PSMD3/PSMD1/PSMB7/PSME3/PSME2/H2BC12/MCM5/ANAPC1/MCM3/KPNB1/H3-3B/H2AZ1/CDC27/PSMC6/UBE2S/PSMD14/MCM4/ANAPC7/PSMD12/PSMD11/PSMD8/MCM7/UBE2C/ORC1/MCM6/ANAPC10/H2BC13/CDC6/ORC6/MCM8/PSMD2/ORC5/H2BC15/H4C11
R-HSA-391251,R-HSA-391251,Protein folding,83,-0.404866464,-1.401314934,0.033915464,0.184300315,0.153180005,2705,"tags=30%, list=18%, signal=25%",CCT6A/PFDN1/TUBB4B/GNG5/CCT3/TCP1/CCT4/GNG11/CCT7/GNG10/TUBA1C/PFDN6/CCT8/GNG2/CCT2/CCNE2/NOP56/CCT5/TUBB1/PFDN2/RGS6/GNA14/TUBB4A/SPHK1/GNA15
R-HSA-68877,R-HSA-68877,Mitotic Prometaphase,192,-0.358665056,-1.40410708,0.00806684,0.091948854,0.07642269,4412,"tags=45%, list=30%, signal=32%",CNTRL/ZW10/PPP2CB/TUBGCP4/NEK7/YWHAE/NUP37/HDAC8/NUP85/DSN1/TUBA1B/CEP290/CENPT/SMC2/CDK1/CCNB1/NUP98/PLK4/CDCA8/BIRC5/SMC4/CEP135/KIF2A/SMC1A/YWHAG/HAUS1/AURKB/KIF18A/CENPH/HAUS8/NDC80/AHCTF1/CENPO/INCENP/CEP76/KIF2C/NUP43/SKA1/CENPE/DYNC1LI1/MAPRE1/PLK1/ZWINT/CENPN/CSNK2A1/RCC2/CDCA5/CENPI/BUB1/NUP107/TUBG1/CENPK/PPP2R5A/CEP41/MZT1/NUF2/HAUS2/TUBGCP2/TUBB4B/PPP1CC/MAD2L1/BUB3/NDE1/NCAPH/SPDL1/NEDD1/TUBGCP3/CSNK1E/NCAPG/ZWILCH/SGO2/TUBA1C/HAUS6/CENPU/HSP90AA1/SFI1/CENPQ/ERCC6L/NUDC/DYNC1I1/TUBB1/SEH1L/CENPJ/SDCCAG8/CEP72/TUBB4A
R-HSA-500792,R-HSA-500792,GPCR ligand binding,161,-0.367117124,-1.406006449,0.010758621,0.102173638,0.084920953,804,"tags=23%, list=5%, signal=22%",GRM8/GAL/ADORA2B/LPAR6/FZD8/GABBR2/ACKR4/F2RL1/LPAR5/PTAFR/GPBAR1/NPY1R/PTGFR/GPR68/CCR1/ADM2/AGTR1/GPER1/NPFFR2/S1PR3/LHB/UCN2/MCHR1/DRD2/CMKLR1/C3AR1/ADGRE2/FPR1/CXCR4/HTR7/BDKRB2/NTSR1/TACR1/SHH/ADCYAP1R1/HTR4/CCL20
R-HSA-674695,R-HSA-674695,RNA Polymerase II Pre-transcription Events,75,-0.413295644,-1.406074244,0.036999748,0.194283323,0.161477317,5285,"tags=63%, list=36%, signal=40%",SUPT5H/MLLT3/POLR2I/CTR9/TAF13/GTF2H1/GTF2A1/GTF2A2/AFF4/POLR2A/GTF2B/NELFA/NELFCD/TCEA1/TAF10/TAF3/TBP/TAF7/LEO1/GTF2H3/NELFE/NCBP1/CCNT1/POLR2C/ERCC3/POLR2K/ELOA/MNAT1/SUPT16H/CDK7/GTF2E1/ELOC/SSRP1/POLR2G/POLR2B/ELL/GTF2F2/CCNH/POLR2H/NCBP2/POLR2D/GTF2E2/EAF1/TAF4B/POLR2F/TAF5/GTF2H2
R-HSA-5693607,R-HSA-5693607,Processing of DNA double-strand break ends,75,-0.414499586,-1.410170178,0.036244651,0.192481065,0.159979382,4605,"tags=56%, list=31%, signal=39%",UBC/BRCA1/HUS1/CCNA2/TOP3A/RAD1/CDK2/UBB/UIMC1/RPA2/RNF4/UBE2I/NSD2/RPA3/NBN/H2BC12/EXO1/TIMELESS/RMI1/RFC2/SIRT6/UBE2V2/ATR/TOPBP1/MDC1/ATRIP/BRCC3/RAD9B/RFC4/BLM/UBE2N/RFC3/DNA2/WRN/TIPIN/H2BC13/RFC5/MRE11/CLSPN/CCNA1/H2BC15/H4C11
R-HSA-68875,R-HSA-68875,Mitotic Prophase,100,-0.399895125,-1.42691594,0.020254479,0.142745129,0.118641683,4300,"tags=45%, list=29%, signal=32%",PPP2CB/NEK7/VRK2/NUP62/NUP37/NUP85/SET/LMNB1/SMC2/CDK1/CCNB1/MASTL/NUP98/LMNA/NCAPH2/SMC4/H2BC12/NUP54/RAE1/NUP43/POM121/NUP93/PLK1/H3-3B/NUP50/NCAPD3/H2AZ1/NUP107/NUP153/BANF1/NUP88/NUP155/NUP205/MAPK1/NUP58/H2BC13/NUP188/NDC1/PRKCB/TMPO/NUP35/VRK1/SEH1L/H2BC15/H4C11
R-HSA-68886,R-HSA-68886,M Phase,360,-0.343041936,-1.439205611,0.00168691,0.02956309,0.02457117,4472,"tags=44%, list=30%, signal=31%",UBB/PSMC2/NCAPG2/CNTRL/PSMD6/ZW10/PPP2CB/TUBGCP4/RCC1/PSMB6/UBE2I/NEK7/YWHAE/VRK2/NUP62/PSMD13/NUP37/PSMA1/PSMC1/HDAC8/NUP85/PSMD7/SET/DSN1/PSMC5/PSMA5/PSMC4/TUBA1B/LMNB1/CEP290/CENPT/SMC2/CDK1/PSMD3/PSMD1/VPS4A/CCNB1/MASTL/NUP98/PLK4/PSMB7/PSME3/CDCA8/BIRC5/LMNA/NCAPH2/PSME2/SMC4/H2BC12/CEP135/KIF2A/SMC1A/YWHAG/HAUS1/AURKB/KIF18A/NUP54/RAE1/CENPH/HAUS8/NDC80/AHCTF1/CENPO/INCENP/CEP76/ANAPC1/KIF2C/NUP43/POM121/SKA1/CENPE/NUP93/DYNC1LI1/MAPRE1/PLK1/KPNB1/ZWINT/H3-3B/CENPN/CSNK2A1/NUP50/NCAPD3/H2AZ1/RCC2/CDC27/CDCA5/PSMC6/CENPI/BUB1/NUP107/TUBG1/CENPK/NUP153/PPP2R5A/FBXO5/BANF1/UBE2S/CEP41/MZT1/PSMD14/PPP2R2A/NUF2/NUP88/HAUS2/ANAPC7/TUBGCP2/TUBB4B/ESPL1/PPP1CC/MAD2L1/BUB3/PSMD12/NUP155/PSMD11/PSMD8/PSME4/CHMP7/NDE1/NUP205/NCAPH/SPDL1/NEDD1/MAPK1/TUBGCP3/NUP58/CSNK1E/NCAPG/UBE2C/ANAPC10/ZWILCH/H2BC13/SGO2/TUBA1C/HAUS6/NUP188/CENPU/RAN/HSP90AA1/SFI1/CENPQ/NDC1/PRKCB/ERCC6L/TMPO/PSMD2/NUDC/DYNC1I1/NUP35/TUBB1/VRK1/SEH1L/CENPJ/SDCCAG8/H2BC15/CEP72/TUBB4A/H4C11
R-HSA-390466,R-HSA-390466,Chaperonin-mediated protein folding,78,-0.420041572,-1.440920964,0.027060887,0.162829887,0.135334998,2705,"tags=32%, list=18%, signal=26%",CCT6A/PFDN1/TUBB4B/GNG5/CCT3/TCP1/CCT4/GNG11/CCT7/GNG10/TUBA1C/PFDN6/CCT8/GNG2/CCT2/CCNE2/NOP56/CCT5/TUBB1/PFDN2/RGS6/GNA14/TUBB4A/SPHK1/GNA15
R-HSA-3371453,R-HSA-3371453,Regulation of HSF1-mediated heat shock response,66,-0.433726683,-1.441114526,0.034568515,0.185689879,0.154334932,4194,"tags=50%, list=28%, signal=36%",YWHAE/NUP62/NUP37/NUP85/RPA3/NUP98/NUP54/RAE1/NUP43/POM121/NUP93/HSPA14/NUP50/HSPA4/DNAJC2/NUP107/NUP153/ATR/BAG3/NUP88/NUP155/NUP205/MAPK1/HSPA12A/NUP58/NUP188/HSPH1/HSPA8/NDC1/HSPA6/NUP35/HSPA9/SEH1L
